"Species","Density","Source"
"Mazama chunyi",3.912,"Santini et al. (2022, GEB)"
"Mazama gouazoubira",4.356,"Santini et al. (2022, GEB)"
"Mazama nana",4.873,"Santini et al. (2022, GEB)"
"Mazama pandora",3.01,"Santini et al. (2022, GEB)"
"Mazama rufina",4.731,"Santini et al. (2022, GEB)"
"Mazama temama",3.26,"Santini et al. (2022, GEB)"
"Muntiacus atherodes",3.204,"Santini et al. (2022, GEB)"
"Muntiacus crinifrons",2.193,"Santini et al. (2022, GEB)"
"Muntiacus feae",2.311,"Santini et al. (2022, GEB)"
"Muntiacus gongshanensis",2.27,"Santini et al. (2022, GEB)"
"Muntiacus muntjak",3.858,"Santini et al. (2022, GEB)"
"Muntiacus puhoatensis",1.988,"Santini et al. (2022, GEB)"
"Muntiacus putaoensis",2.294,"Santini et al. (2022, GEB)"
"Muntiacus reevesi",4.568,"Santini et al. (2022, GEB)"
"Muntiacus rooseveltorum",3.753,"Santini et al. (2022, GEB)"
"Muntiacus truongsonensis",2.203,"Santini et al. (2022, GEB)"
"Muntiacus vuquangensis",1.819,"Santini et al. (2022, GEB)"
"Odocoileus hemionus",6.366,"Santini et al. (2022, GEB)"
"Odocoileus virginianus",7.666,"Santini et al. (2022, GEB)"
"Ozotoceros bezoarticus",3.137,"Santini et al. (2022, GEB)"
"Pudu mephistophiles",10.365,"Santini et al. (2022, GEB)"
"Pudu puda",5.281,"Santini et al. (2022, GEB)"
"Rangifer tarandus",0.492,"Santini et al. (2022, GEB)"
"Rucervus duvaucelii",3.658,"Santini et al. (2022, GEB)"
"Rucervus eldii",0.104,"Santini et al. (2022, GEB)"
"Rusa alfredi",1.939,"Santini et al. (2022, GEB)"
"Rusa marianna",1.767,"Santini et al. (2022, GEB)"
"Rusa timorensis",1.162,"Santini et al. (2022, GEB)"
"Rusa unicolor",3.763,"Santini et al. (2022, GEB)"
"Giraffa camelopardalis",0.497,"Santini et al. (2022, GEB)"
"Okapia johnstoni",0.754,"Santini et al. (2022, GEB)"
"Hexaprotodon liberiensis",0.628,"Santini et al. (2022, GEB)"
"Hippopotamus amphibius",0.379,"Santini et al. (2022, GEB)"
"Moschus anhuiensis",13.227,"Santini et al. (2022, GEB)"
"Moschus berezovskii",5.718,"Santini et al. (2022, GEB)"
"Moschus chrysogaster",4.004,"Santini et al. (2022, GEB)"
"Moschus cupreus",22.095,"Santini et al. (2022, GEB)"
"Moschus fuscus",1260.058,"Santini et al. (2022, GEB)"
"Moschus leucogaster",4.366,"Santini et al. (2022, GEB)"
"Moschus moschiferus",2.452,"Santini et al. (2022, GEB)"
"Babyrousa babyrussa",0.855,"Santini et al. (2022, GEB)"
"Babyrousa celebensis",0.409,"Santini et al. (2022, GEB)"
"Babyrousa togeanensis",0.435,"Santini et al. (2022, GEB)"
"Hylochoerus meinertzhageni",0.671,"Santini et al. (2022, GEB)"
"Phacochoerus aethiopicus",0.627,"Santini et al. (2022, GEB)"
"Phacochoerus africanus",0.967,"Santini et al. (2022, GEB)"
"Potamochoerus larvatus",0.954,"Santini et al. (2022, GEB)"
"Potamochoerus porcus",0.354,"Santini et al. (2022, GEB)"
"Sus ahoenobarbus",0.623,"Santini et al. (2022, GEB)"
"Sus barbatus",2.311,"Santini et al. (2022, GEB)"
"Sus bucculentus",0.598,"Santini et al. (2022, GEB)"
"Sus cebifrons",0.446,"Santini et al. (2022, GEB)"
"Sus celebensis",0.577,"Santini et al. (2022, GEB)"
"Sus oliveri",0.574,"Santini et al. (2022, GEB)"
"Sus philippensis",0.405,"Santini et al. (2022, GEB)"
"Sus salvanius",2.475,"Santini et al. (2022, GEB)"
"Sus scrofa",4.234,"Santini et al. (2022, GEB)"
"Sus verrucosus",0.507,"Santini et al. (2022, GEB)"
"Catagonus wagneri",1.317,"Santini et al. (2022, GEB)"
"Pecari tajacu",3.984,"Santini et al. (2022, GEB)"
"Tayassu pecari",5.79,"Santini et al. (2022, GEB)"
"Hyemoschus aquaticus",3.048,"Santini et al. (2022, GEB)"
"Moschiola meminna",4.621,"Santini et al. (2022, GEB)"
"Tragulus javanicus",13.212,"Santini et al. (2022, GEB)"
"Tragulus kanchil",9.849,"Santini et al. (2022, GEB)"
"Tragulus napu",7.65,"Santini et al. (2022, GEB)"
"Tragulus nigricans",13.578,"Santini et al. (2022, GEB)"
"Tragulus versicolor",9.654,"Santini et al. (2022, GEB)"
"Tragulus williamsoni",8.089,"Santini et al. (2022, GEB)"
"Craseonycteris thonglongyai",17.084,"Santini et al. (2022, GEB)"
"Balantiopteryx infusca",13.34,"Santini et al. (2022, GEB)"
"Balantiopteryx io",7.935,"Santini et al. (2022, GEB)"
"Balantiopteryx plicata",6.828,"Santini et al. (2022, GEB)"
"Centronycteris centralis",8.607,"Santini et al. (2022, GEB)"
"Centronycteris maximiliani",7.524,"Santini et al. (2022, GEB)"
"Coleura afra",6.079,"Santini et al. (2022, GEB)"
"Coleura seychellensis",7.439,"Santini et al. (2022, GEB)"
"Cormura brevirostris",4.864,"Santini et al. (2022, GEB)"
"Cyttarops alecto",6.462,"Santini et al. (2022, GEB)"
"Diclidurus albus",3.841,"Santini et al. (2022, GEB)"
"Diclidurus ingens",0.793,"Santini et al. (2022, GEB)"
"Diclidurus isabellus",3.513,"Santini et al. (2022, GEB)"
"Diclidurus scutatus",4.22,"Santini et al. (2022, GEB)"
"Emballonura alecto",15.775,"Santini et al. (2022, GEB)"
"Emballonura atrata",15.224,"Santini et al. (2022, GEB)"
"Emballonura beccarii",15.811,"Santini et al. (2022, GEB)"
"Emballonura dianae",10.029,"Santini et al. (2022, GEB)"
"Emballonura furax",8.463,"Santini et al. (2022, GEB)"
"Emballonura monticola",14.988,"Santini et al. (2022, GEB)"
"Emballonura raffrayana",13.964,"Santini et al. (2022, GEB)"
"Emballonura semicaudata",19.097,"Santini et al. (2022, GEB)"
"Emballonura serii",20.756,"Santini et al. (2022, GEB)"
"Mosia nigrescens",12.171,"Santini et al. (2022, GEB)"
"Peropteryx kappleri",5.188,"Santini et al. (2022, GEB)"
"Peropteryx leucoptera",6.296,"Santini et al. (2022, GEB)"
"Peropteryx macrotis",7.926,"Santini et al. (2022, GEB)"
"Peropteryx trinitatis",12.492,"Santini et al. (2022, GEB)"
"Rhynchonycteris naso",9.8,"Santini et al. (2022, GEB)"
"Saccolaimus flaviventris",3.199,"Santini et al. (2022, GEB)"
"Saccolaimus mixtus",2.979,"Santini et al. (2022, GEB)"
"Saccolaimus peli",0.893,"Santini et al. (2022, GEB)"
"Saccolaimus saccolaimus",2.399,"Santini et al. (2022, GEB)"
"Saccopteryx antioquensis",10.92,"Santini et al. (2022, GEB)"
"Saccopteryx bilineata",6.156,"Santini et al. (2022, GEB)"
"Saccopteryx canescens",10.699,"Santini et al. (2022, GEB)"
"Saccopteryx gymnura",7.357,"Santini et al. (2022, GEB)"
"Saccopteryx leptura",8.766,"Santini et al. (2022, GEB)"
"Taphozous achates",2.816,"Santini et al. (2022, GEB)"
"Taphozous australis",2.887,"Santini et al. (2022, GEB)"
"Taphozous georgianus",3.276,"Santini et al. (2022, GEB)"
"Taphozous hamiltoni",4.06,"Santini et al. (2022, GEB)"
"Taphozous hildegardeae",3.546,"Santini et al. (2022, GEB)"
"Taphozous hilli",5.013,"Santini et al. (2022, GEB)"
"Taphozous kapalgensis",3.311,"Santini et al. (2022, GEB)"
"Taphozous longimanus",3.481,"Santini et al. (2022, GEB)"
"Taphozous mauritianus",2.792,"Santini et al. (2022, GEB)"
"Taphozous melanopogon",3.434,"Santini et al. (2022, GEB)"
"Taphozous nudiventris",3.135,"Santini et al. (2022, GEB)"
"Taphozous perforatus",3.241,"Santini et al. (2022, GEB)"
"Taphozous theobaldi",2.666,"Santini et al. (2022, GEB)"
"Taphozous troughtoni",4.026,"Santini et al. (2022, GEB)"
"Amorphochilus schnablii",15.182,"Santini et al. (2022, GEB)"
"Furipterus horrens",11.367,"Santini et al. (2022, GEB)"
"Anthops ornatus",7.231,"Santini et al. (2022, GEB)"
"Asellia patrizii",6.134,"Santini et al. (2022, GEB)"
"Asellia tridens",5.779,"Santini et al. (2022, GEB)"
"Aselliscus stoliczkanus",10.557,"Santini et al. (2022, GEB)"
"Aselliscus tricuspidatus",10.167,"Santini et al. (2022, GEB)"
"Cloeotis percivali",14.098,"Santini et al. (2022, GEB)"
"Coelops frithii",8.108,"Santini et al. (2022, GEB)"
"Coelops robinsoni",7.8,"Santini et al. (2022, GEB)"
"Hipposideros abae",8.508,"Santini et al. (2022, GEB)"
"Hipposideros armiger",3.186,"Santini et al. (2022, GEB)"
"Hipposideros ater",9.336,"Santini et al. (2022, GEB)"
"Hipposideros beatus",8.79,"Santini et al. (2022, GEB)"
"Hipposideros bicolor",7.41,"Santini et al. (2022, GEB)"
"Hipposideros breviceps",7.189,"Santini et al. (2022, GEB)"
"Hipposideros caffer",6.464,"Santini et al. (2022, GEB)"
"Hipposideros calcaratus",7.057,"Santini et al. (2022, GEB)"
"Hipposideros camerunensis",6.952,"Santini et al. (2022, GEB)"
"Hipposideros cervinus",5.378,"Santini et al. (2022, GEB)"
"Hipposideros cineraceus",10.698,"Santini et al. (2022, GEB)"
"Hipposideros commersoni",1.445,"Santini et al. (2022, GEB)"
"Hipposideros coronatus",11.59,"Santini et al. (2022, GEB)"
"Hipposideros corynophyllus",4.286,"Santini et al. (2022, GEB)"
"Hipposideros coxi",7.699,"Santini et al. (2022, GEB)"
"Hipposideros crumeniferus",5.937,"Santini et al. (2022, GEB)"
"Hipposideros curtus",5.35,"Santini et al. (2022, GEB)"
"Hipposideros cyclops",3.219,"Santini et al. (2022, GEB)"
"Hipposideros demissus",4.517,"Santini et al. (2022, GEB)"
"Hipposideros diadema",2.202,"Santini et al. (2022, GEB)"
"Hipposideros dinops",2.175,"Santini et al. (2022, GEB)"
"Hipposideros doriae",11.092,"Santini et al. (2022, GEB)"
"Hipposideros durgadasi",8.322,"Santini et al. (2022, GEB)"
"Hipposideros dyacorum",8.674,"Santini et al. (2022, GEB)"
"Hipposideros edwardshilli",3.976,"Santini et al. (2022, GEB)"
"Hipposideros fuliginosus",4.694,"Santini et al. (2022, GEB)"
"Hipposideros fulvus",7.908,"Santini et al. (2022, GEB)"
"Hipposideros galeritus",8.564,"Santini et al. (2022, GEB)"
"Hipposideros gigas",0.812,"Santini et al. (2022, GEB)"
"Hipposideros grandis",6.331,"Santini et al. (2022, GEB)"
"Hipposideros halophyllus",17.801,"Santini et al. (2022, GEB)"
"Hipposideros hypophyllus",7.757,"Santini et al. (2022, GEB)"
"Hipposideros inexpectatus",3.304,"Santini et al. (2022, GEB)"
"Hipposideros inornatus",3.233,"Santini et al. (2022, GEB)"
"Hipposideros jonesi",12.053,"Santini et al. (2022, GEB)"
"Hipposideros lamottei",4.428,"Santini et al. (2022, GEB)"
"Hipposideros lankadiva",2.245,"Santini et al. (2022, GEB)"
"Hipposideros larvatus",5.704,"Santini et al. (2022, GEB)"
"Hipposideros lekaguli",2.902,"Santini et al. (2022, GEB)"
"Hipposideros lylei",2.254,"Santini et al. (2022, GEB)"
"Hipposideros macrobullatus",5.471,"Santini et al. (2022, GEB)"
"Hipposideros madurae",5.933,"Santini et al. (2022, GEB)"
"Hipposideros maggietaylorae",3.423,"Santini et al. (2022, GEB)"
"Hipposideros marisae",7.841,"Santini et al. (2022, GEB)"
"Hipposideros megalotis",10.94,"Santini et al. (2022, GEB)"
"Hipposideros muscinus",4.072,"Santini et al. (2022, GEB)"
"Hipposideros nequam",5.374,"Santini et al. (2022, GEB)"
"Hipposideros obscurus",10.142,"Santini et al. (2022, GEB)"
"Hipposideros orbiculus",8.581,"Santini et al. (2022, GEB)"
"Hipposideros papua",6.85,"Santini et al. (2022, GEB)"
"Hipposideros pelingensis",4.666,"Santini et al. (2022, GEB)"
"Hipposideros pomona",7.087,"Santini et al. (2022, GEB)"
"Hipposideros pratti",5.057,"Santini et al. (2022, GEB)"
"Hipposideros pygmaeus",21.215,"Santini et al. (2022, GEB)"
"Hipposideros ridleyi",5.571,"Santini et al. (2022, GEB)"
"Hipposideros rotalis",4.137,"Santini et al. (2022, GEB)"
"Hipposideros ruber",5.237,"Santini et al. (2022, GEB)"
"Hipposideros scutinares",5.986,"Santini et al. (2022, GEB)"
"Hipposideros semoni",4.358,"Santini et al. (2022, GEB)"
"Hipposideros sorenseni",4.886,"Santini et al. (2022, GEB)"
"Hipposideros speoris",7.856,"Santini et al. (2022, GEB)"
"Hipposideros stenotis",5.738,"Santini et al. (2022, GEB)"
"Hipposideros sumbae",5.96,"Santini et al. (2022, GEB)"
"Hipposideros thomensis",5.486,"Santini et al. (2022, GEB)"
"Hipposideros turpis",2.213,"Santini et al. (2022, GEB)"
"Hipposideros vittatus",7.052,"Santini et al. (2022, GEB)"
"Hipposideros wollastoni",7.61,"Santini et al. (2022, GEB)"
"Rhinonicteris aurantia",10.524,"Santini et al. (2022, GEB)"
"Triaenops persicus",5.964,"Santini et al. (2022, GEB)"
"Triaenops rufus",6.331,"Santini et al. (2022, GEB)"
"Cardioderma cor",3.429,"Santini et al. (2022, GEB)"
"Lavia frons",2.799,"Santini et al. (2022, GEB)"
"Macroderma gigas",0.533,"Santini et al. (2022, GEB)"
"Megaderma lyra",1.659,"Santini et al. (2022, GEB)"
"Megaderma spasma",2.269,"Santini et al. (2022, GEB)"
"Chaerephon aloysiisabaudiae",3.484,"Santini et al. (2022, GEB)"
"Chaerephon ansorgei",4.195,"Santini et al. (2022, GEB)"
"Chaerephon bemmeleni",4.632,"Santini et al. (2022, GEB)"
"Chaerephon bivittatus",4.867,"Santini et al. (2022, GEB)"
"Chaerephon bregullae",4.619,"Santini et al. (2022, GEB)"
"Chaerephon chapini",5.878,"Santini et al. (2022, GEB)"
"Chaerephon gallagheri",3.133,"Santini et al. (2022, GEB)"
"Chaerephon jobensis",4.69,"Santini et al. (2022, GEB)"
"Chaerephon johorensis",4.346,"Santini et al. (2022, GEB)"
"Chaerephon major",4.302,"Santini et al. (2022, GEB)"
"Chaerephon nigeriae",3.456,"Santini et al. (2022, GEB)"
"Chaerephon plicatus",3.809,"Santini et al. (2022, GEB)"
"Chaerephon russatus",3.055,"Santini et al. (2022, GEB)"
"Chaerephon solomonis",4.092,"Santini et al. (2022, GEB)"
"Chaerephon tomensis",8.398,"Santini et al. (2022, GEB)"
"Cheiromeles parvidens",0.824,"Santini et al. (2022, GEB)"
"Cheiromeles torquatus",0.672,"Santini et al. (2022, GEB)"
"Cynomops abrasus",2.06,"Santini et al. (2022, GEB)"
"Cynomops greenhalli",3.598,"Santini et al. (2022, GEB)"
"Cynomops mexicanus",3.233,"Santini et al. (2022, GEB)"
"Cynomops paranus",4.141,"Santini et al. (2022, GEB)"
"Cynomops planirostris",4.352,"Santini et al. (2022, GEB)"
"Eumops auripendulus",2.576,"Santini et al. (2022, GEB)"
"Eumops bonariensis",6.685,"Santini et al. (2022, GEB)"
"Eumops dabbenei",1.13,"Santini et al. (2022, GEB)"
"Eumops glaucinus",2.166,"Santini et al. (2022, GEB)"
"Eumops hansae",3.501,"Santini et al. (2022, GEB)"
"Eumops maurus",2.166,"Santini et al. (2022, GEB)"
"Eumops patagonicus",2.182,"Santini et al. (2022, GEB)"
"Eumops perotis",1.626,"Santini et al. (2022, GEB)"
"Eumops trumbulli",1.859,"Santini et al. (2022, GEB)"
"Eumops underwoodi",1.543,"Santini et al. (2022, GEB)"
"Molossops aequatorianus",5.533,"Santini et al. (2022, GEB)"
"Molossops mattogrossensis",6.247,"Santini et al. (2022, GEB)"
"Molossops neglectus",4.62,"Santini et al. (2022, GEB)"
"Molossops temminckii",8.06,"Santini et al. (2022, GEB)"
"Molossus aztecus",4.449,"Santini et al. (2022, GEB)"
"Molossus coibensis",2.97,"Santini et al. (2022, GEB)"
"Molossus currentium",3.868,"Santini et al. (2022, GEB)"
"Molossus molossus",4.559,"Santini et al. (2022, GEB)"
"Molossus pretiosus",2.902,"Santini et al. (2022, GEB)"
"Molossus rufus",2.848,"Santini et al. (2022, GEB)"
"Molossus sinaloae",2.915,"Santini et al. (2022, GEB)"
"Mops brachypterus",3.357,"Santini et al. (2022, GEB)"
"Mops condylurus",2.728,"Santini et al. (2022, GEB)"
"Mops congicus",1.558,"Santini et al. (2022, GEB)"
"Mops demonstrator",3.77,"Santini et al. (2022, GEB)"
"Mops leucostigma",2.708,"Santini et al. (2022, GEB)"
"Mops midas",2.291,"Santini et al. (2022, GEB)"
"Mops mops",2.646,"Santini et al. (2022, GEB)"
"Mops nanulus",3.164,"Santini et al. (2022, GEB)"
"Mops niangarae",3.149,"Santini et al. (2022, GEB)"
"Mops niveiventer",2.98,"Santini et al. (2022, GEB)"
"Mops petersoni",3.266,"Santini et al. (2022, GEB)"
"Mops sarasinorum",3.193,"Santini et al. (2022, GEB)"
"Mops spurrelli",5.23,"Santini et al. (2022, GEB)"
"Mops thersites",2.71,"Santini et al. (2022, GEB)"
"Mops trevori",3.441,"Santini et al. (2022, GEB)"
"Mormopterus acetabulosus",6.944,"Santini et al. (2022, GEB)"
"Mormopterus beccarii",4.972,"Santini et al. (2022, GEB)"
"Mormopterus doriae",6.824,"Santini et al. (2022, GEB)"
"Mormopterus jugularis",6.139,"Santini et al. (2022, GEB)"
"Mormopterus kalinowskii",6.164,"Santini et al. (2022, GEB)"
"Mormopterus minutus",5.727,"Santini et al. (2022, GEB)"
"Mormopterus phrudus",6.723,"Santini et al. (2022, GEB)"
"Mormopterus planiceps",12.766,"Santini et al. (2022, GEB)"
"Myopterus daubentonii",2.871,"Santini et al. (2022, GEB)"
"Myopterus whitleyi",4.217,"Santini et al. (2022, GEB)"
"Nyctinomops aurispinosus",4.432,"Santini et al. (2022, GEB)"
"Nyctinomops femorosaccus",3.941,"Santini et al. (2022, GEB)"
"Nyctinomops laticaudatus",4.461,"Santini et al. (2022, GEB)"
"Nyctinomops macrotis",3.809,"Santini et al. (2022, GEB)"
"Otomops formosus",4.613,"Santini et al. (2022, GEB)"
"Otomops johnstonei",2.883,"Santini et al. (2022, GEB)"
"Otomops madagascariensis",2.714,"Santini et al. (2022, GEB)"
"Otomops martiensseni",2.247,"Santini et al. (2022, GEB)"
"Otomops papuensis",3.24,"Santini et al. (2022, GEB)"
"Otomops secundus",3.149,"Santini et al. (2022, GEB)"
"Otomops wroughtoni",3.5,"Santini et al. (2022, GEB)"
"Platymops setiger",4.275,"Santini et al. (2022, GEB)"
"Promops centralis",2.614,"Santini et al. (2022, GEB)"
"Promops nasutus",4.118,"Santini et al. (2022, GEB)"
"Sauromys petrophilus",5.866,"Santini et al. (2022, GEB)"
"Tadarida aegyptiaca",5.425,"Santini et al. (2022, GEB)"
"Tadarida australis",4.69,"Santini et al. (2022, GEB)"
"Tadarida brasiliensis",6.107,"Santini et al. (2022, GEB)"
"Tadarida fulminans",2.565,"Santini et al. (2022, GEB)"
"Tadarida insignis",3.21,"Santini et al. (2022, GEB)"
"Tadarida kuboriensis",3.022,"Santini et al. (2022, GEB)"
"Tadarida latouchei",2.934,"Santini et al. (2022, GEB)"
"Tadarida lobata",3.688,"Santini et al. (2022, GEB)"
"Tadarida teniotis",4.925,"Santini et al. (2022, GEB)"
"Tadarida ventralis",3.726,"Santini et al. (2022, GEB)"
"Tomopeas ravus",20.448,"Santini et al. (2022, GEB)"
"Mormoops blainvillei",7.437,"Santini et al. (2022, GEB)"
"Mormoops megalophylla",4.631,"Santini et al. (2022, GEB)"
"Pteronotus davyi",5.495,"Santini et al. (2022, GEB)"
"Pteronotus gymnonotus",4.048,"Santini et al. (2022, GEB)"
"Pteronotus macleayii",6.524,"Santini et al. (2022, GEB)"
"Pteronotus parnellii",4.239,"Santini et al. (2022, GEB)"
"Pteronotus personatus",5.888,"Santini et al. (2022, GEB)"
"Pteronotus quadridens",10.6,"Santini et al. (2022, GEB)"
"Mystacina robusta",39.375,"Santini et al. (2022, GEB)"
"Mystacina tuberculata",48.787,"Santini et al. (2022, GEB)"
"Myzopoda aurita",36.383,"Santini et al. (2022, GEB)"
"Chilonatalus micropus",13.324,"Santini et al. (2022, GEB)"
"Chilonatalus tumidifrons",16.9,"Santini et al. (2022, GEB)"
"Natalus jamaicensis",7.56,"Santini et al. (2022, GEB)"
"Natalus major",9.837,"Santini et al. (2022, GEB)"
"Natalus primus",11.703,"Santini et al. (2022, GEB)"
"Natalus stramineus",7.707,"Santini et al. (2022, GEB)"
"Natalus tumidirostris",7.535,"Santini et al. (2022, GEB)"
"Nyctiellus lepidus",11.827,"Santini et al. (2022, GEB)"
"Noctilio albiventris",1.389,"Santini et al. (2022, GEB)"
"Noctilio leporinus",0.679,"Santini et al. (2022, GEB)"
"Nycteris arge",4.333,"Santini et al. (2022, GEB)"
"Nycteris aurita",3.799,"Santini et al. (2022, GEB)"
"Nycteris gambiensis",6.532,"Santini et al. (2022, GEB)"
"Nycteris grandis",1.608,"Santini et al. (2022, GEB)"
"Nycteris hispida",5.782,"Santini et al. (2022, GEB)"
"Nycteris intermedia",4.412,"Santini et al. (2022, GEB)"
"Nycteris javanica",3.319,"Santini et al. (2022, GEB)"
"Nycteris macrotis",4.037,"Santini et al. (2022, GEB)"
"Nycteris madagascariensis",2.95,"Santini et al. (2022, GEB)"
"Nycteris major",4.278,"Santini et al. (2022, GEB)"
"Nycteris nana",6.14,"Santini et al. (2022, GEB)"
"Nycteris parisii",3.799,"Santini et al. (2022, GEB)"
"Nycteris thebaica",5.743,"Santini et al. (2022, GEB)"
"Nycteris tragata",4.643,"Santini et al. (2022, GEB)"
"Nycteris vinsoni",4.561,"Santini et al. (2022, GEB)"
"Nycteris woodi",7.191,"Santini et al. (2022, GEB)"
"Ametrida centurio",28.176,"Santini et al. (2022, GEB)"
"Anoura caudifer",15.354,"Santini et al. (2022, GEB)"
"Anoura cultrata",14.06,"Santini et al. (2022, GEB)"
"Anoura geoffroyi",14.119,"Santini et al. (2022, GEB)"
"Anoura latidens",13.884,"Santini et al. (2022, GEB)"
"Anoura luismanueli",15.681,"Santini et al. (2022, GEB)"
"Ardops nichollsi",22.219,"Santini et al. (2022, GEB)"
"Ariteus flavescens",12.523,"Santini et al. (2022, GEB)"
"Artibeus amplus",6.069,"Santini et al. (2022, GEB)"
"Artibeus anderseni",2.679,"Santini et al. (2022, GEB)"
"Artibeus aztecus",12.18,"Santini et al. (2022, GEB)"
"Artibeus concolor",11.134,"Santini et al. (2022, GEB)"
"Artibeus fimbriatus",6.941,"Santini et al. (2022, GEB)"
"Artibeus fraterculus",12.086,"Santini et al. (2022, GEB)"
"Artibeus glaucus",18.309,"Santini et al. (2022, GEB)"
"Artibeus gnomus",18.932,"Santini et al. (2022, GEB)"
